"allpower","date","household"
802.93,"2012-06-27","4"
662.81,"2012-06-28","4"
678.48,"2012-06-29","4"
656.52,"2012-06-30","4"
742.91,"2012-07-01","4"
688.16,"2012-07-02","4"
779.78,"2012-07-03","4"
642.69,"2012-07-04","4"
604.42,"2012-07-05","4"
655.39,"2012-07-06","4"
720.92,"2012-07-07","4"
718.93,"2012-07-08","4"
670.58,"2012-07-09","4"
894.37,"2012-07-10","4"
595.17,"2012-07-11","4"
797.09,"2012-07-12","4"
751.71,"2012-07-13","4"
656.09,"2012-07-14","4"
570.71,"2012-07-15","4"
439.27,"2012-07-16","4"
433.07,"2012-07-17","4"
437.08,"2012-07-18","4"
439.88,"2012-07-19","4"
434.55,"2012-07-20","4"
428.94,"2012-07-21","4"
490.75,"2012-07-22","4"
759.27,"2012-07-23","4"
706.92,"2012-07-24","4"
535.65,"2012-07-25","4"
523.44,"2012-07-26","4"
569.26,"2012-07-27","4"
627.94,"2012-07-28","4"
619.59,"2012-07-29","4"
806.54,"2012-07-30","4"
780.14,"2012-07-31","4"
725,"2012-08-01","4"
626.17,"2012-08-02","4"
705.31,"2012-08-03","4"
948.82,"2012-08-04","4"
759.96,"2012-08-05","4"
666.97,"2012-08-06","4"
734.59,"2012-08-07","4"
702.69,"2012-08-08","4"
863.63,"2012-08-09","4"
601.34,"2012-08-10","4"
719.94,"2012-08-11","4"
830.69,"2012-08-12","4"
598.42,"2012-08-13","4"
689.09,"2012-08-14","4"
686.8,"2012-08-15","4"
783.45,"2012-08-16","4"
624.76,"2012-08-17","4"
964.71,"2012-08-18","4"
633.66,"2012-08-19","4"
965.78,"2012-08-20","4"
760.91,"2012-08-21","4"
737.41,"2012-08-22","4"
733.62,"2012-08-23","4"
669.41,"2012-08-24","4"
690.86,"2012-08-25","4"
724.8,"2012-08-26","4"
743.6,"2012-08-27","4"
693.73,"2012-08-28","4"
645.71,"2012-08-29","4"
831.33,"2012-08-30","4"
555.52,"2012-08-31","4"
630.31,"2012-09-01","4"
580.66,"2012-09-02","4"
836.59,"2012-09-03","4"
683.3,"2012-09-04","4"
1000.44,"2012-09-05","4"
715.17,"2012-09-06","4"
699.22,"2012-09-07","4"
626.57,"2012-09-08","4"
629.41,"2012-09-09","4"
848.13,"2012-09-10","4"
592.15,"2012-09-11","4"
705.51,"2012-09-12","4"
773.93,"2012-09-13","4"
471.14,"2012-09-14","4"
759.35,"2012-09-15","4"
623.41,"2012-09-16","4"
651.21,"2012-09-17","4"
617.5,"2012-09-18","4"
644.36,"2012-09-19","4"
853.13,"2012-09-20","4"
715.85,"2012-09-21","4"
725.03,"2012-09-22","4"
778.43,"2012-09-23","4"
1085.58,"2012-09-24","4"
1097.94,"2012-09-25","4"
908.25,"2012-09-26","4"
814.18,"2012-09-27","4"
756.58,"2012-09-28","4"
956.25,"2012-09-29","4"
1069.62,"2012-09-30","4"
747.01,"2012-10-01","4"
556.93,"2012-10-02","4"
459.13,"2012-10-03","4"
522.81,"2012-10-04","4"
818.56,"2012-10-05","4"
696.48,"2012-10-06","4"
892.45,"2012-10-07","4"
836.21,"2012-10-08","4"
724.84,"2012-10-09","4"
1001.86,"2012-10-10","4"
758.27,"2012-10-11","4"
831.81,"2012-10-12","4"
670.75,"2012-10-13","4"
1027.88,"2012-10-14","4"
1008.09,"2012-10-15","4"
825.22,"2012-10-16","4"
870.38,"2012-10-17","4"
933.78,"2012-10-18","4"
865.54,"2012-10-19","4"
802.33,"2012-10-20","4"
780.73,"2012-10-21","4"
864.54,"2012-10-22","4"
673.56,"2012-10-23","4"
893.1,"2012-10-24","4"
899.85,"2012-10-25","4"
853.93,"2012-10-26","4"
931.13,"2012-10-27","4"
1071.27,"2012-10-28","4"
1543.53,"2012-10-29","4"
1459.09,"2012-10-30","4"
1414.57,"2012-10-31","4"
1421.33,"2012-11-01","4"
1313.99,"2012-11-02","4"
1150.91,"2012-11-03","4"
1059.32,"2012-11-04","4"
1122.27,"2012-11-05","4"
881.9,"2012-11-06","4"
822.89,"2012-11-07","4"
962.55,"2012-11-08","4"
1132.53,"2012-11-09","4"
1196.99,"2012-11-10","4"
1235.47,"2012-11-11","4"
1329.86,"2012-11-12","4"
1132.93,"2012-11-13","4"
1198.34,"2012-11-14","4"
1389.96,"2012-11-15","4"
1101.46,"2012-11-16","4"
1152.54,"2012-11-17","4"
1134.5,"2012-11-18","4"
1041.34,"2012-11-19","4"
1343.66,"2012-11-20","4"
1177.56,"2012-11-21","4"
1115.57,"2012-11-22","4"
905.73,"2012-11-23","4"
1102.63,"2012-11-24","4"
1085.06,"2012-11-25","4"
1032.86,"2012-11-26","4"
876.17,"2012-11-27","4"
868.92,"2012-11-28","4"
953.51,"2012-11-29","4"
887.61,"2012-11-30","4"
944.14,"2012-12-01","4"
798.13,"2012-12-02","4"
1076.82,"2012-12-03","4"
1191.72,"2012-12-04","4"
1518.06,"2012-12-05","4"
1657.09,"2012-12-06","4"
1721.14,"2012-12-07","4"
1698.71,"2012-12-08","4"
1537.08,"2012-12-09","4"
1657.15,"2012-12-10","4"
1410.45,"2012-12-11","4"
1503.24,"2012-12-12","4"
2566.76,"2012-12-13","4"
1330.95,"2012-12-14","4"
1591.56,"2012-12-15","4"
1687.53,"2012-12-16","4"
1588.14,"2012-12-17","4"
1607.6,"2012-12-18","4"
1412.33,"2012-12-19","4"
809.98,"2012-12-20","4"
1013.06,"2012-12-21","4"
917.03,"2012-12-22","4"
914.38,"2012-12-23","4"
839.76,"2012-12-24","4"
666.98,"2012-12-25","4"
767.37,"2012-12-26","4"
387.93,"2012-12-27","4"
417.43,"2012-12-28","4"
621.78,"2012-12-29","4"
465.21,"2012-12-30","4"
526.54,"2012-12-31","4"
474.91,"2013-01-01","4"
563.81,"2013-01-02","4"
489.64,"2013-01-03","4"
404.19,"2013-01-04","4"
440.13,"2013-01-05","4"
343.48,"2013-01-06","4"
715.14,"2013-01-07","4"
385.41,"2013-01-08","4"
460.44,"2013-01-09","4"
683.69,"2013-01-10","4"
663.02,"2013-01-11","4"
437.55,"2013-01-12","4"
458.11,"2013-01-13","4"
655.5,"2013-01-14","4"
540.22,"2013-01-15","4"
653.04,"2013-01-16","4"
1110.42,"2013-01-17","4"
699.73,"2013-01-18","4"
604.42,"2013-01-19","4"
364.88,"2013-01-20","4"
457.36,"2013-01-21","4"
693.2,"2013-01-22","4"
618.48,"2013-01-23","4"
404.95,"2013-01-24","4"
821.54,"2013-01-25","4"
783.92,"2013-01-26","4"
593.06,"2013-01-27","4"
522.88,"2013-01-28","4"
324.94,"2013-01-29","4"
444.97,"2013-01-30","4"
426.62,"2013-01-31","4"
790.54,"2012-06-27","5"
605.88,"2012-06-28","5"
647.54,"2012-06-29","5"
620.16,"2012-06-30","5"
566.69,"2012-07-01","5"
608.46,"2012-07-02","5"
580.73,"2012-07-03","5"
660.25,"2012-07-04","5"
596.4,"2012-07-05","5"
605.25,"2012-07-06","5"
530.85,"2012-07-07","5"
620.97,"2012-07-08","5"
610.61,"2012-07-09","5"
545.17,"2012-07-10","5"
614.44,"2012-07-11","5"
632.52,"2012-07-12","5"
667.15,"2012-07-13","5"
700.94,"2012-07-14","5"
569.86,"2012-07-15","5"
606.76,"2012-07-16","5"
662.3,"2012-07-17","5"
571.83,"2012-07-18","5"
664.2,"2012-07-19","5"
593.46,"2012-07-20","5"
738.18,"2012-07-21","5"
592.97,"2012-07-22","5"
567.04,"2012-07-23","5"
641.87,"2012-07-24","5"
591.04,"2012-07-25","5"
687.27,"2012-07-26","5"
579.3,"2012-07-27","5"
660.87,"2012-07-28","5"
573.68,"2012-07-29","5"
619.9,"2012-07-30","5"
619.52,"2012-07-31","5"
546.86,"2012-08-01","5"
631.87,"2012-08-02","5"
616.31,"2012-08-03","5"
769.46,"2012-08-04","5"
588.4,"2012-08-05","5"
839.87,"2012-08-06","5"
687.37,"2012-08-07","5"
802.03,"2012-08-08","5"
892.62,"2012-08-09","5"
731.89,"2012-08-10","5"
642.35,"2012-08-11","5"
553.55,"2012-08-12","5"
663.94,"2012-08-13","5"
620.73,"2012-08-14","5"
773.31,"2012-08-15","5"
605.14,"2012-08-16","5"
645.81,"2012-08-17","5"
598.53,"2012-08-18","5"
580.48,"2012-08-19","5"
675.92,"2012-08-20","5"
735.48,"2012-08-21","5"
616.77,"2012-08-22","5"
562.9,"2012-08-23","5"
661.58,"2012-08-24","5"
662.53,"2012-08-25","5"
552.02,"2012-08-26","5"
637.53,"2012-08-27","5"
593.45,"2012-08-28","5"
579.5,"2012-08-29","5"
617.35,"2012-08-30","5"
613.04,"2012-08-31","5"
598.69,"2012-09-01","5"
594.92,"2012-09-02","5"
626.33,"2012-09-03","5"
650.34,"2012-09-04","5"
663.11,"2012-09-05","5"
597.8,"2012-09-06","5"
725.73,"2012-09-11","5"
637.38,"2012-09-12","5"
507.79,"2012-09-13","5"
499.37,"2012-09-14","5"
490.48,"2012-09-15","5"
500.14,"2012-09-16","5"
481.77,"2012-09-17","5"
475.63,"2012-09-18","5"
465.63,"2012-09-19","5"
588.01,"2012-09-20","5"
792.32,"2012-09-21","5"
497.79,"2012-09-22","5"
606.13,"2012-09-23","5"
664.74,"2012-09-24","5"
624.38,"2012-09-25","5"
587.72,"2012-09-26","5"
631.33,"2012-09-27","5"
605.74,"2012-09-28","5"
636.92,"2012-09-29","5"
773.89,"2012-09-30","5"
661.78,"2012-10-01","5"
680.04,"2012-10-02","5"
721.7,"2012-10-03","5"
685.15,"2012-10-04","5"
633.33,"2012-10-05","5"
587.95,"2012-10-06","5"
817.78,"2012-10-07","5"
781.03,"2012-10-08","5"
886.35,"2012-10-09","5"
1075.04,"2012-10-10","5"
884.94,"2012-10-11","5"
724.28,"2012-10-12","5"
677.58,"2012-10-13","5"
779.86,"2012-10-14","5"
972.99,"2012-10-15","5"
861.87,"2012-10-16","5"
855.66,"2012-10-17","5"
830.33,"2012-10-18","5"
803.75,"2012-10-19","5"
684.24,"2012-10-20","5"
688.69,"2012-10-21","5"
827.83,"2012-10-22","5"
801.1,"2012-10-23","5"
1090.93,"2012-10-24","5"
838.69,"2012-10-25","5"
863.91,"2012-10-26","5"
1471.73,"2012-10-27","5"
933.69,"2012-10-28","5"
901.12,"2012-10-29","5"
838.47,"2012-10-30","5"
765.22,"2012-10-31","5"
793.67,"2012-11-01","5"
1096.19,"2012-11-02","5"
632.19,"2012-11-03","5"
624.06,"2012-11-04","5"
732.14,"2012-11-05","5"
717.03,"2012-11-06","5"
750.9,"2012-11-07","5"
829.22,"2012-11-08","5"
1235.58,"2012-11-09","5"
890.41,"2012-11-10","5"
1000.95,"2012-11-11","5"
933,"2012-11-12","5"
1132.22,"2012-11-13","5"
856.52,"2012-11-14","5"
696.07,"2012-11-15","5"
1176.43,"2012-11-16","5"
806.74,"2012-11-17","5"
692.28,"2012-11-18","5"
775.63,"2012-11-19","5"
769.74,"2012-11-20","5"
877.77,"2012-11-21","5"
706.05,"2012-11-22","5"
832.03,"2012-11-23","5"
1175.2,"2012-11-24","5"
699.86,"2012-11-25","5"
725.26,"2012-11-26","5"
1106.54,"2012-11-27","5"
912.15,"2012-11-28","5"
795.66,"2012-11-29","5"
1208.31,"2012-11-30","5"
853.9,"2012-12-01","5"
853.87,"2012-12-02","5"
899.07,"2012-12-03","5"
847.88,"2012-12-04","5"
1138.83,"2012-12-05","5"
1527.16,"2012-12-06","5"
929.57,"2012-12-07","5"
1474.68,"2012-12-08","5"
1130.04,"2012-12-09","5"
1248.54,"2012-12-10","5"
1006.05,"2012-12-11","5"
786.63,"2012-12-12","5"
709.69,"2012-12-13","5"
743.8,"2012-12-14","5"
672.35,"2012-12-15","5"
1661.95,"2012-12-16","5"
856.29,"2012-12-17","5"
925.04,"2012-12-18","5"
792.9,"2012-12-19","5"
794.35,"2012-12-20","5"
1285.47,"2012-12-21","5"
2042.04,"2012-12-22","5"
1258.2,"2012-12-23","5"
877.75,"2012-12-24","5"
853.55,"2012-12-25","5"
1257.25,"2012-12-26","5"
900.58,"2012-12-27","5"
777.51,"2012-12-28","5"
1802.53,"2012-12-29","5"
796.23,"2012-12-30","5"
1038.29,"2012-12-31","5"
957.58,"2013-01-01","5"
797.5,"2013-01-02","5"
903.2,"2013-01-03","5"
1079.18,"2013-01-04","5"
1568.76,"2013-01-05","5"
882.82,"2013-01-06","5"
1146.54,"2013-01-07","5"
810.15,"2013-01-08","5"
845.26,"2013-01-09","5"
731.54,"2013-01-10","5"
1224.31,"2013-01-11","5"
746.76,"2013-01-12","5"
741.28,"2013-01-13","5"
1185.07,"2013-01-14","5"
1223.27,"2013-01-15","5"
1142.43,"2013-01-16","5"
992.39,"2013-01-17","5"
1176.58,"2013-01-18","5"
1094.34,"2013-01-19","5"
858.27,"2013-01-20","5"
1236.89,"2013-01-21","5"
891.92,"2013-01-22","5"
746.86,"2013-01-23","5"
940.08,"2013-01-24","5"
1310.65,"2013-01-25","5"
820.28,"2013-01-26","5"
782.5,"2013-01-27","5"
764.7,"2013-01-28","5"
738.92,"2013-01-29","5"
705.1,"2013-01-30","5"
1070.65,"2013-01-31","5"
157.2,"2012-06-27","6"
141.81,"2012-06-28","6"
148.05,"2012-06-29","6"
299.81,"2012-06-30","6"
136.94,"2012-07-01","6"
142.68,"2012-07-02","6"
107.35,"2012-07-03","6"
139.46,"2012-07-04","6"
175.99,"2012-07-05","6"
124.94,"2012-07-06","6"
216.14,"2012-07-07","6"
195.49,"2012-07-08","6"
140.96,"2012-07-09","6"
151.72,"2012-07-10","6"
192.46,"2012-07-11","6"
188.72,"2012-07-12","6"
127.37,"2012-07-13","6"
162.68,"2012-07-14","6"
87.62,"2012-07-15","6"
86.82,"2012-07-16","6"
87.39,"2012-07-17","6"
88.86,"2012-07-18","6"
89.45,"2012-07-19","6"
88.56,"2012-07-20","6"
111.13,"2012-07-21","6"
456.9,"2012-07-22","6"
461.05,"2012-07-23","6"
119.54,"2012-07-24","6"
133.67,"2012-07-25","6"
119.55,"2012-07-26","6"
103.61,"2012-07-27","6"
326.23,"2012-07-28","6"
362.26,"2012-07-29","6"
432.69,"2012-07-30","6"
118.66,"2012-07-31","6"
144.66,"2012-08-01","6"
166.47,"2012-08-02","6"
111.37,"2012-08-03","6"
100.35,"2012-08-04","6"
176.03,"2012-08-05","6"
317.9,"2012-08-06","6"
227.89,"2012-08-07","6"
94.37,"2012-08-08","6"
91.08,"2012-08-09","6"
114.04,"2012-08-10","6"
158.19,"2012-08-11","6"
122.18,"2012-08-12","6"
145.35,"2012-08-13","6"
149.22,"2012-08-14","6"
93.38,"2012-08-15","6"
108.07,"2012-08-16","6"
107.77,"2012-08-17","6"
166.07,"2012-08-18","6"
346.85,"2012-08-19","6"
131.88,"2012-08-20","6"
127.98,"2012-08-21","6"
115.93,"2012-08-22","6"
101.95,"2012-08-23","6"
146.08,"2012-08-24","6"
196.59,"2012-08-25","6"
158.61,"2012-08-26","6"
156.12,"2012-08-27","6"
114.69,"2012-08-28","6"
102.98,"2012-08-29","6"
168.72,"2012-08-30","6"
173.16,"2012-08-31","6"
306.76,"2012-09-01","6"
181.27,"2012-09-02","6"
116.3,"2012-09-03","6"
149.41,"2012-09-04","6"
149.26,"2012-09-05","6"
109.57,"2012-09-06","6"
127.86,"2012-09-07","6"
211.85,"2012-09-08","6"
201.42,"2012-09-09","6"
106.77,"2012-09-10","6"
145.51,"2012-09-11","6"
87.3,"2012-09-12","6"
81.37,"2012-09-13","6"
125.84,"2012-09-14","6"
95.23,"2012-09-15","6"
154.2,"2012-09-16","6"
120.8,"2012-09-17","6"
160.25,"2012-09-18","6"
96.68,"2012-09-19","6"
85.21,"2012-09-20","6"
77.7,"2012-09-21","6"
230.89,"2012-09-22","6"
352.64,"2012-09-23","6"
220.25,"2012-09-24","6"
175.65,"2012-09-25","6"
172.77,"2012-09-26","6"
136.39,"2012-09-27","6"
109.07,"2012-09-28","6"
302.47,"2012-09-29","6"
541.06,"2012-09-30","6"
612.03,"2012-10-01","6"
384.79,"2012-10-02","6"
238.76,"2012-10-03","6"
163.48,"2012-10-04","6"
81.6,"2012-10-05","6"
81.99,"2012-10-06","6"
82.12,"2012-10-07","6"
117.13,"2012-10-08","6"
478.57,"2012-10-09","6"
446.59,"2012-10-10","6"
186.5,"2012-10-11","6"
117.19,"2012-10-12","6"
251.3,"2012-10-13","6"
206.01,"2012-10-14","6"
163.02,"2012-10-15","6"
119.22,"2012-10-16","6"
127.85,"2012-10-17","6"
194.53,"2012-10-18","6"
132.45,"2012-10-19","6"
167.84,"2012-10-20","6"
156.55,"2012-10-21","6"
144.95,"2012-10-22","6"
330.29,"2012-10-23","6"
109.53,"2012-10-24","6"
122.23,"2012-10-25","6"
161.9,"2012-10-26","6"
190.48,"2012-10-27","6"
504.95,"2012-10-28","6"
713.45,"2012-10-29","6"
362.31,"2012-10-30","6"
123.82,"2012-10-31","6"
161.77,"2012-11-01","6"
134.07,"2012-11-02","6"
145.63,"2012-11-03","6"
184.15,"2012-11-04","6"
108.23,"2012-11-05","6"
135.64,"2012-11-06","6"
114.2,"2012-11-07","6"
79.99,"2012-11-08","6"
102.39,"2012-11-09","6"
260.02,"2012-11-10","6"
357.11,"2012-11-11","6"
505.13,"2013-01-04","6"
586.84,"2013-01-05","6"
1060.68,"2013-01-06","6"
493.37,"2013-01-07","6"
1163.03,"2013-01-08","6"
153.52,"2013-01-09","6"
279.86,"2013-01-10","6"
148.95,"2013-01-11","6"
119.79,"2013-01-12","6"
158.26,"2013-01-13","6"
133.21,"2013-01-14","6"
82.34,"2013-01-15","6"
100.25,"2013-01-16","6"
98.97,"2013-01-17","6"
177.58,"2013-01-18","6"
153.82,"2013-01-19","6"
940.34,"2013-01-20","6"
860.97,"2013-01-21","6"
149.81,"2013-01-22","6"
97.15,"2013-01-23","6"
118.7,"2013-01-24","6"
125.96,"2013-01-25","6"
210.04,"2013-01-26","6"
178.81,"2013-01-27","6"
121.7,"2013-01-28","6"
111.46,"2013-01-29","6"
139.94,"2013-01-30","6"
1099.94,"2013-01-31","6"
